borrstate,loan_status,COUNT,PERCENT
,EXEMPT,1,100
AK,CHGOFF,11,3.8194444444
AK,EXEMPT,211,73.263888889
AK,PIF,66,22.916666667
AL,CHGOFF,234,11.403508772
AL,EXEMPT,915,44.590643275
AL,PIF,903,44.005847953
AR,CHGOFF,62,12.550607287
AR,EXEMPT,235,47.570850202
AR,PIF,197,39.87854251
AZ,CHGOFF,276,10.419026048
AZ,EXEMPT,1503,56.738391846
AZ,PIF,870,32.842582106
CA,CHGOFF,1406,5.3871795854
CA,EXEMPT,14968,57.350856355
CA,PIF,9725,37.26196406
CO,CHGOFF,292,7.2116571993
CO,EXEMPT,2425,59.891331193
CO,PIF,1332,32.897011608
CT,CHGOFF,57,6.0638297872
CT,EXEMPT,686,72.978723404
CT,PIF,197,20.957446809
DC,CHGOFF,5,3.0674846626
DC,EXEMPT,91,55.828220859
DC,PIF,67,41.104294479
DE,CHGOFF,3,2.2900763359
DE,EXEMPT,82,62.595419847
DE,PIF,46,35.114503817
FL,CHGOFF,841,11.06433364
FL,EXEMPT,4660,61.307722668
FL,PIF,2100,27.627943692
GA,CHGOFF,393,11.552028219
GA,EXEMPT,1974,58.024691358
GA,PIF,1035,30.423280423
GU,EXEMPT,25,73.529411765
GU,PIF,9,26.470588235
HI,CHGOFF,6,1.0380622837
HI,EXEMPT,396,68.512110727
HI,PIF,176,30.44982699
IA,CHGOFF,113,6.326987682
IA,EXEMPT,956,53.52743561
IA,PIF,717,40.145576708
ID,CHGOFF,126,6.7092651757
ID,EXEMPT,1027,54.685835996
ID,PIF,725,38.604898829
IL,CHGOFF,399,7.8791469194
IL,EXEMPT,3288,64.928909953
IL,PIF,1377,27.191943128
IN,CHGOFF,222,7.6393668273
IN,EXEMPT,1561,53.716448727
IN,PIF,1123,38.644184446
KS,CHGOFF,81,7.1491615181
KS,EXEMPT,588,51.897616946
KS,PIF,464,40.953221536
KY,CHGOFF,59,8.2402234637
KY,EXEMPT,410,57.262569832
KY,PIF,247,34.497206704
LA,CHGOFF,55,6.6747572816
LA,EXEMPT,306,37.13592233
LA,PIF,463,56.189320388
MA,CHGOFF,141,4.6078431373
MA,EXEMPT,1940,63.39869281
MA,PIF,979,31.993464052
MD,CHGOFF,68,5.5829228243
MD,EXEMPT,648,53.201970443
MD,PIF,502,41.215106732
ME,CHGOFF,65,9.0655509066
ME,EXEMPT,449,62.622036262
ME,PIF,203,28.312412831
MI,CHGOFF,262,9.4584837545
MI,EXEMPT,1901,68.628158845
MI,PIF,607,21.913357401
MN,CHGOFF,434,8.0162541559
MN,EXEMPT,2783,51.403768009
MN,PIF,2197,40.579977835
MO,CHGOFF,206,7.3440285205
MO,EXEMPT,1425,50.802139037
MO,PIF,1174,41.853832442
MS,CHGOFF,66,16.058394161
MS,EXEMPT,172,41.849148418
MS,PIF,173,42.092457421
MT,CHGOFF,18,3.4682080925
MT,EXEMPT,271,52.215799615
MT,PIF,230,44.315992293
NC,CHGOFF,164,6.8276436303
NC,EXEMPT,1238,51.540383014
NC,PIF,1000,41.631973356
ND,CHGOFF,41,4.5964125561
ND,EXEMPT,416,46.6367713
ND,PIF,435,48.766816143
NE,CHGOFF,46,6.1170212766
NE,EXEMPT,496,65.957446809
NE,PIF,210,27.925531915
NH,CHGOFF,142,5.7723577236
NH,EXEMPT,1177,47.845528455
NH,PIF,1141,46.382113821
NJ,CHGOFF,53,5.0717703349
NJ,EXEMPT,763,73.014354067
NJ,PIF,229,21.913875598
NM,CHGOFF,45,5.016722408
NM,EXEMPT,513,57.190635452
NM,PIF,339,37.79264214
NV,CHGOFF,226,10.203160271
NV,EXEMPT,1059,47.810383747
NV,PIF,930,41.986455982
NY,CHGOFF,226,4.9226747985
NY,EXEMPT,2584,56.28403398
NY,PIF,1781,38.793291222
OH,CHGOFF,302,6.3100710405
OH,EXEMPT,2502,52.277475972
OH,PIF,1982,41.412452988
OK,CHGOFF,105,9.8499061914
OK,EXEMPT,588,55.159474672
OK,PIF,373,34.990619137
OR,CHGOFF,69,4.9250535332
OR,EXEMPT,811,57.887223412
OR,PIF,521,37.187723055
PA,CHGOFF,111,6.5525383707
PA,EXEMPT,1035,61.097992916
PA,PIF,548,32.349468713
PR,CHGOFF,96,8.5257548845
PR,EXEMPT,778,69.094138544
PR,PIF,252,22.380106572
RI,CHGOFF,27,4.7038327526
RI,EXEMPT,354,61.672473868
RI,PIF,193,33.62369338
SC,CHGOFF,72,9.4861660079
SC,EXEMPT,439,57.839262187
SC,PIF,248,32.674571805
SD,CHGOFF,40,5.4794520548
SD,EXEMPT,464,63.561643836
SD,PIF,226,30.95890411
TN,CHGOFF,106,11.843575419
TN,EXEMPT,420,46.927374302
TN,PIF,369,41.229050279
TX,CHGOFF,448,7.6099881094
TX,EXEMPT,3691,62.697468999
TX,PIF,1748,29.692542891
UT,CHGOFF,281,6.1907909231
UT,EXEMPT,2366,52.126018947
UT,PIF,1892,41.68319013
VA,CHGOFF,129,5.1251489869
VA,EXEMPT,1351,53.675009932
VA,PIF,1037,41.199841081
VI,EXEMPT,6,75
VI,PIF,2,25
VT,CHGOFF,31,10.09771987
VT,EXEMPT,202,65.798045603
VT,PIF,74,24.104234528
WA,CHGOFF,115,4.0722379603
WA,EXEMPT,1634,57.861189802
WA,PIF,1075,38.066572238
WI,CHGOFF,175,5.7301899149
WI,EXEMPT,1809,59.233791749
WI,PIF,1070,35.036018337
WV,CHGOFF,20,14.925373134
WV,EXEMPT,56,41.791044776
WV,PIF,58,43.28358209
WY,CHGOFF,11,2.8571428571
WY,EXEMPT,187,48.571428571
WY,PIF,187,48.571428571
